Company,Contract Type,Clause,Content,Summary,Embedding Shape
"Gordon, Alvarez and Lee",CA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Gordon, Alvarez and Lee",CA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Gordon, Alvarez and Lee",CA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Gordon, Alvarez and Lee",CDA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Gordon, Alvarez and Lee",CDA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Fisher-Mcguire,CDA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Fisher-Mcguire,CDA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Fisher-Mcguire,WO,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Fisher-Mcguire,WO,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Fisher-Mcguire,WO,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Brown PLC,WO,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Brown PLC,WO,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Brown PLC,WO,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Brown PLC,CDA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
